date,signal,sp500_w,nasdaq_w,sox_w,cash_w,sharpe_1y,vix,passed,sp500_px,nasdaq_px,sox_px
2026-04-27 00:00:00,BUY,0.0,0.0,1.0,0.0,3.094,18.71,5,7165.08,24836.6,10513.66
2026-04-28,BUY,0.0,0.0,1.0,0.0,2.926,18.02,5,7173.91,24887.1,10408.04
2026-04-29,BUY,0.0,0.0,1.0,0.0,2.762,17.83,5,7138.8,24663.8,10035.58
